# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HD 32518 b,3.04,,157.54,0.59,0.01,,0.005026,R,2009,2009-08-13,306.11,2452950.29,detected by radial velocity,,HD 32518,05:09:37.0,+69:38:22,6.44,,,,,117.4,-0.15,1.13,10.22,K1III,5.83,4580.0
HD 330075 b,0.62,,3.38773,0.039,0.0,,0.000777,R,2004,2010-12-29,0.0,,detected by radial velocity,,HD 330075,15:49:37.0,-49:57:48,9.36,,,,,50.2,0.03,0.95,,G5,6.21,6295.0
HD 33142 b,1.3,,326.6,1.06,0.22,,0.008413,R,2011,2011-09-02,138.0,2455324.0,detected by radial velocity,,HD 33142,05:07:36.0,-13:59:11,8.13,,,,,126.0,0.05,1.48,4.2,K0III,3.0,5052.0
HD 33283 b,0.33,,18.179,0.168,0.48,,0.001953,R,2006,2006-04-18,155.8,2453017.6,detected by radial velocity,,HD 33283,05:08:01.0,-26:47:50,8.05,,,,,86.0,0.366,1.24,1.2,G3V,3.2,5995.0
HD 33564 b,9.1,,388.0,1.1,0.34,,0.052431,R,2005,2010-12-23,205.0,52603.0,detected by radial velocity,,HD 33564,05:22:33.0,+79:13:52,5.08,,,,,20.98,-0.12,1.25,1.1,F6 V,3.0,6250.0
HD 34445 b,0.79,,1049.0,2.07,0.27,,0.044516,S,2004,2010-03-19,104.0,23781.0,detected by radial velocity,,HD 34445,05:17:41.0,+07:21:12,7.31,,,,,46.5,0.14,1.07,1.38,G0,8.5,5836.0
HD 3651 b,0.2,,62.23,0.284,0.63,83.0,0.025818,R,2003,2010-10-19,235.7,2501.7,detected by radial velocity,,HD 3651,00:39:21.0,+21:15:01,5.8,,,,,11.0,0.05,0.79,0.947,K0 V,5.13,5173.0
HD 37124 b,0.675,,154.378,0.53364,0.054,,0.016171,R,1999,2011-01-07,130.0,2450305.0,detected by radial velocity,,HD 37124,05:37:02.0,+20:43:50,7.68,,,,,33.0,-0.442,0.83,0.82,G4 V,3.33,5610.0
HD 37124 c,0.652,,885.5,1.71,0.125,,0.051818,R,2005,2011-01-07,53.0,2449534.0,detected by radial velocity,,HD 37124,05:37:02.0,+20:43:50,7.68,,,,,33.0,-0.442,0.83,0.82,G4 V,3.33,5610.0
HD 37124 d,0.696,,1862.0,2.807,0.16,,0.085061,R,2003,2011-01-07,0.0,2448558.0,detected by radial velocity,,HD 37124,05:37:02.0,+20:43:50,7.68,,,,,33.0,-0.442,0.83,0.82,G4 V,3.33,5610.0
HD 37605 b,2.813,,55.01307,0.2837,0.6767,,0.006613,R,2004,2012-01-19,220.86,2453378.241,detected by radial velocity,,HD 37605,05:40:01.0,+06:03:38,8.69,,,,,42.9,0.39,0.8,,K0V,10.71,5475.0
HD 37605 c,3.379,,2720.0,3.821,0.013,,0.089068,R,2012,2012-01-19,221.0,2452117.0,detected by radial velocity,,HD 37605,05:40:01.0,+06:03:38,8.69,,,,,42.9,0.39,0.8,,K0V,10.71,5475.0
HD 38283 b,0.34,,363.2,1.02,0.41,,0.027056,R,2011,2011-04-13,,2450802.6,detected by radial velocity,,HD 38283,05:37:02.0,-73:41:58,6.7,,,,,37.7,-0.24,1.085,,F9.5V,5.4,5945.0
HD 38529 b,0.78,,14.3104,0.131,0.248,57.0,0.003335,R,2000,2011-05-11,95.9,50020.19,detected by radial velocity,,HD 38529,05:46:34.0,+01:10:05,5.94,,,,,39.28,0.27,1.48,2.44,G4 IV,3.28,5697.0
HD 38529 c,17.7,,2134.76,3.695,0.36,48.3,0.094068,R,2002,2010-03-02,22.52,48002.0,detected by radial velocity,,HD 38529,05:46:34.0,+01:10:05,5.94,,,,,39.28,0.27,1.48,2.44,G4 IV,3.28,5697.0
HD 38801 b,10.7,,696.3,1.7,0.0,,0.017103,R,2010,2010-12-15,,2453966.0,detected by radial velocity,,HD 38801,05:47:59.0,-08:19:40,8.26,,,,,99.4,0.26,1.36,2.53,K0IV,4.67,5222.0
HD 38858 b,0.0961,,407.15,1.0376,0.27,,0.068263,S,2011,2011-09-12,,,detected by radial velocity,,HD 38858,05:48:35.0,-04:05:41,5.97,,,,,15.2,,,,G4V,,
HD 39091 b,10.3,,2049.0,3.28,0.61,,0.179039,R,2001,2011-01-01,330.0,50073.0,detected by radial velocity,,HD 39091,05:37:09.0,-80:28:08,5.67,,,,,18.32,0.09,1.1,2.1,G1 IV,3.83,5888.0
HD 39194 b,0.0117,,5.6363,0.0519,0.2,,0.002004,S,2011,2011-09-12,,,detected by radial velocity,,HD 39194,05:44:32.0,-70:08:37,8.08,,,,,25.9,,,,K0V,,
HD 39194 c,0.0187,,14.025,0.0954,0.11,,0.003683,S,2011,2011-09-12,,,detected by radial velocity,,HD 39194,05:44:32.0,-70:08:37,8.08,,,,,25.9,,,,K0V,,
HD 39194 d,0.0162,,33.941,0.172,0.2,,0.006641,S,2011,2011-09-12,,,detected by radial velocity,,HD 39194,05:44:32.0,-70:08:37,8.08,,,,,25.9,,,,K0V,,
HD 40307 b,0.0132,,4.3115,0.047,0.0,,0.003672,R,2008,2008-10-14,,,detected by radial velocity,,HD 40307,05:54:04.0,-60:01:24,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977.0
HD 40307 c,0.0216,,9.62,0.081,0.0,,0.006328,R,2008,2008-10-14,,,detected by radial velocity,,HD 40307,05:54:04.0,-60:01:24,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977.0
HD 40307 d,0.0288,,20.46,0.134,0.0,,0.010469,R,2008,2008-10-14,,,detected by radial velocity,,HD 40307,05:54:04.0,-60:01:24,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977.0
HD 40979 b,3.28,,263.1,0.83,0.25,,0.024925,R,2002,2010-12-20,310.7,2330.65,detected by radial velocity,,HD 40979,06:04:29.0,+44:15:37,6.74,,,,,33.3,0.194,1.1,1.21,F8 V,1.48,6205.0
HD 41004 A b,2.54,,963.0,1.64,0.39,,0.038588,R,2004,2009-10-06,97.0,2452425.0,detected by radial velocity,,HD 41004 A,05:59:49.0,-48:14:22,8.65,,,,,42.5,-0.09,0.7,,K1 V,1.64,5035.0
HD 41004 B b,18.4,,1.3283,0.0177,0.081,,0.000411,R,2004,2006-08-25,178.5,2452434.88,detected by radial velocity,,HD 41004 B,05:59:50.0,-48:14:23,12.33,,,,,43.03,-0.01,0.4,,M2,1.56,5035.0
HD 4113 b,1.56,,526.62,1.28,0.903,,0.029091,R,2007,2010-12-17,-42.3,3778.0,detected by radial velocity,,HD 4113,00:43:13.0,-37:58:57,7.88,,,,,44.0,0.2,0.99,,G5V,4.8,5688.0
