# Proper motion data
# HIP	pmRA(mas/yr)	pmDE(mas/yr)
937	57.98	2.00
938	-9.99	13.32
939	11.76	-6.75
940	0.32	-2.79
941	11.78	-7.40
942	6.03	-3.32
943	-36.92	-49.55
944	26.08	-56.37
945	3.60	-6.40
946	35.34	11.58
947	100.99	-10.39
948	739.65	-126.20
949	10.43	-8.78
973	-3.60	-17.86
950	169.76	114.63
951	-3.35	-1.49
952	5.04	-26.99
953	-39.65	-121.25
954	-32.89	-18.42
955	98.24	-8.54
956	-94.92	37.06
957	10.40	-0.10
958	-41.19	-40.76
959	-11.64	-8.59
960	169.75	-17.04
961	-56.00	-79.20
962	95.46	-27.96
963	-1.17	-6.85
964	47.79	-37.89
965	2.00	3.00
966	-88.11	-43.95
967	60.67	10.05
968	9.75	-0.45
969	86.43	3.72
970	1.12	1.41
971	-14.31	-94.83
972	18.11	34.00
1023	2.19	-7.91
974	283.89	-82.19
975	65.89	-150.89
976	51.02	-22.99
977	18.33	-5.07
978	-25.38	-27.65
979	20.97	-24.68
980	-13.39	-24.35
981	33.60	-7.00
982	16.40	-3.42
983	56.03	-25.21
984	50.30	0.20
985	54.19	7.29
986	120.33	1.48
987	0.82	-11.98
988	1.74	-2.82
989	18.93	8.89
990	-28.17	-19.86
991	132.49	-23.79
992	-5.42	-20.11
993	47.08	-0.65
994	29.97	-25.92
995	-0.60	-7.50
996	217.10	-21.75
997	13.98	-7.09
998	-7.58	-1.47
999	320.55	-71.77
1000	213.20	-96.10
1001	-9.90	16.80
1002	1.29	-51.25
1003	-14.34	-225.68
1004	21.81	-15.10
1005	2.10	-2.20
1006	183.10	-289.20
1007	14.39	2.44
1008	-9.02	-6.45
1009	95.70	-22.20
1010	28.45	-4.31
1011	40.62	13.11
1012	29.59	4.57
1013	266.51	115.84
1014	21.00	8.72
1015	7.94	12.44
1016	-64.35	-44.74
1017	25.22	16.72
1018	78.31	0.71
1019	43.09	-7.17
1020	197.03	-186.18
1021	2.89	-1.37
1022	-89.42	-219.33
1024	7.46	-21.27
1025	-0.93	-21.76
1026	94.71	-13.40
1027	21.84	15.92
1028	117.11	35.15
1029	38.30	-8.70
1030	1.67	-2.64
1031	-118.68	35.20
1032	2.65	8.07
1033	0.23	-11.87
1034	-54.06	-40.56
1035	12.20	2.80
1036	-1.78	-1.18
1037	-1.43	-1.01
1038	53.07	-1.86
1039	-1.02	-1.63
1040	47.80	-13.60
1041	-10.66	5.25
1042	20.20	-5.95
1043	-3.66	5.38
1044	-58.00	-174.41
1045	78.63	-29.14
1046	3.00	17.60
1047	7.50	3.39
1094	212.35	-1.02
1048	-26.19	-49.34
1049	2.71	-10.49
1050	-6.00	-4.60
1051	103.85	-19.29
1052	127.54	-14.17
1053	92.40	37.34
1054	14.25	-20.98
1055	228.10	-1.80
1056	16.73	-8.63
1057	-17.78	-80.91
1058	70.15	-0.69
1059	3.10	-10.70
1060	42.20	-12.60
1061	-3.18	0.35
1062	-14.41	-15.47
1063	72.65	-19.38
1064	15.85	-21.44
1065	1.00	10.90
1066	-8.45	-3.74
1067	1.98	-9.28
1068	723.93	-293.85
1069	6.41	-8.60
1070	0.78	-14.39
1071	27.23	1.91
1072	66.80	47.70
1073	30.79	-6.74
1074	10.82	17.61
1075	41.16	-7.48
1076	-13.60	-34.00
1077	0.42	-2.58
1078	441.69	-127.41
1079	34.40	-19.26
1080	-1.40	-1.63
1081	38.83	-5.41
1082	-78.60	-434.60
1083	-213.80	-335.20
1084	-2.54	-20.20
1085	122.76	49.72
1086	-123.22	-146.41
1087	69.19	-24.71
1088	-33.48	-28.08
1089	0.13	-7.56
1090	-6.64	-1.63
1091	-1.04	-11.43
1092	251.57	182.95
1093	21.04	-0.99
1095	27.10	-11.90
1096	38.11	-78.61
1097	-20.33	0.56
1098	2.70	-31.60
1099	-3.45	10.16
1100	-9.75	-0.26
1101	-16.69	-21.42
1102	126.77	-75.15
1103	119.40	2.40
1104	-4.22	-1.13
1105	78.09	8.83
1106	24.65	-32.89
1107	-25.75	-14.52
1108	-21.17	-15.96
1109	8.77	-6.70
1110	-5.44	-6.77
1111	139.36	8.46
1112	1.76	-6.90
1113	82.90	-45.10
1114	106.71	44.95
1115	16.43	4.77
1116	246.52	-99.25
1117	17.01	0.93
1118	7.93	-9.48
1119	173.14	12.90
1120	46.38	-19.73
1121	1.12	-15.52
1122	-13.35	-3.02
1123	-8.96	-19.29
1124	24.50	-2.50
1125	58.60	18.00
1126	48.05	24.02
1127	24.69	-10.21
1128	422.35	-191.94
1129	19.50	-53.60
1130	9.20	-17.90
1131	-4.66	6.73
1132	-8.86	-3.46
1133	59.60	-23.90
1134	103.35	-66.46
1135	-1.77	-10.15
1136	20.38	-0.68
1137	8.19	11.93
1138	46.19	-44.74
1139	11.45	-0.10
1140	-3.21	-29.96
1141	-4.85	-21.03
1142	10.51	6.37
1143	-16.62	1.78
1144	-14.00	-152.30
1145	3.60	-11.28
1146	7.32	10.44
1147	-75.26	-233.58
1148	186.70	18.70
1149	-1.96	-10.01
1150	-5.10	-2.70
1151	-110.13	-87.95
1152	-15.70	18.90
1153	-10.49	-29.73
1154	-32.00	-57.33
1155	21.69	5.89
1156	59.17	-21.92
1157	12.11	-3.72
1158	60.90	4.50
1159	14.83	0.03
1160	-11.20	-10.20
1161	-78.41	-126.29
1162	-0.16	-3.69
1163	12.67	-5.24
1164	56.34	24.34
1165	28.50	-8.90
1166	-14.25	-51.89
1167	5.90	-4.30
1168	90.72	1.22
1169	14.13	-11.29
1170	-26.17	-73.61
1171	15.38	-0.81
1172	10.21	-7.34
1173	43.83	-48.30
1174	44.90	-10.57
1175	-12.06	-9.63
1176	123.43	-40.22
1177	16.50	-10.00
1178	7.62	-14.26
1179	-29.07	-15.47
1180	-3.99	-4.95
1181	65.13	18.55
1182	16.13	2.49
1183	-2.88	-24.76
1184	104.48	-42.37
1185	-71.04	-47.67
1186	40.50	-54.20
1187	74.84	12.87
1188	-8.70	8.20
1189	40.60	-12.50
1190	32.75	-30.62
1191	23.65	-7.80
1192	-56.25	-25.47
1193	44.86	-10.87
1194	8.70	-29.50
1195	76.17	-11.85
1196	100.80	-26.30
1197	99.30	-15.70
1198	27.40	9.50
1199	-46.75	-38.35
1200	7.90	-6.90
1201	63.35	4.97
1202	-0.13	-3.11
1203	104.20	-58.60
1204	0.26	0.12
1205	-4.13	-11.67
1206	47.92	54.43
1207	-14.04	-15.72
1208	32.73	-4.85
1209	15.77	-3.37
1210	24.91	6.52
1211	20.95	-20.52
1212	38.74	-7.21
1213	-3.83	-1.66
1214	55.62	9.81
1215	15.31	-15.99
1216	23.40	-1.80
1217	17.59	-24.44
1218	8.93	44.02
1219	116.13	63.16
1220	12.62	-35.00
1221	37.40	8.20
1222	-1.69	-1.18
1223	5.64	4.40
1224	219.70	43.90
1225	37.60	-7.40
1226	33.60	-7.70
1227	-6.28	-3.92
1228	51.42	-22.24
