97804	η Aql	DCEP	3.48	0	4.39	V	36084.656	7.176641	32	F6Ib-G4Ib
96665	σ Aql	EB/DM	5.14	1	0.2	V	22486.797	1.95026		B3V+B3V
81589	R Ara	EA	6.17	0	7.32	V	47386.1200	4.42522	14	B9Vp
86306	V0535 Ara	EW	7.17	0	7.75	V	39292.9351	0.62930098		A8V
87314	V0539 Ara	EA+LPB	5.71	0	6.24	V	48753.440	3.169094	11	B2V+B3V
86628	V0626 Ara	LB	6.23	0	6.46	V				M3III
85467	V0750 Ara	BE	6.62	0	6.68	V				B35e
84586	V0824 Ara	RS	6.63	0	6.97	V		1.681652		G5IV+K0V-IV
83323	V0828 Ara	BE	6.11	0	6.24	V				B2IVe
84311	V0829 Ara	ELL:	6.09	0	6.20	V		80.		
88743	V0832 Ara	RS	7.08	0	7.16	V		34.6		G8-K0III-IIp
81376	V0840 Ara	LB	6.83	0	6.91	Hp				M2/M3III
81700	V0842 Ara	SRB	8.0	0	8.7	V		166.		
82335	V0843 Ara	ACV	7.78	0	7.82	Hp	48502.3182	2.57281		Ap(Si)
82868	V0846 Ara	BE	6.27	0	6.37	Hp				B3Vnpe
82985	V0847 Ara	LPB	6.50	0	6.53	Hp		0.94213		B5III
83618	V0850 Ara	LB	7.87	0	8.03	Hp				M3III
83802	V0851 Ara	EB	6.93	0	6.98	Hp	48500.2098	0.617372		A7III
83943	V0852 Ara	EA	7.75	0	8.10	Hp	48500.410	3.7400	09	B8V
84105	V0854 Ara	LB	5.87	0	5.99	Hp				M1/M2III
84148	V0855 Ara	LB	7.25	0	7.35	Hp				M4III
85435	V0859 Ara	LC	7.02	0	7.14	Hp				M2II
85553	V0860 Ara	LB	7.17	0	7.30	Hp				M2/M3III
85751	V0862 Ara	BE:	5.92	0	6.04	Hp				B7II/III
85820	V0863 Ara	SRB	7.47	0	8.15	Hp		294.		M4/5+A2/3V
85895	V0864 Ara	BE	6.97	0	7.09	Hp				B7:Vnnpe
85968	V0865 Ara	SRS	7.55	0	7.70	V		27.8		M3/4III
86200	V0866 Ara	ACV:	7.68	0	7.74	Hp				Ap(Si-Cr)
86658	V0867 Ara	EW	7.40	0	7.60	V	52764.7376	0.4937123		A0/A1IV
87302	V0868 Ara	BE	7.57	0	7.63	Hp		22.568		B6Vne
88491	V0869 Ara	LC	7.64	0	7.83	Hp				M2Ib/II
81650	V0872 Ara	GDOR:	6.37	0	6.39	Hp		0.4266		
83603	V0873 Ara	ACYG	7.17	0	7.23	Hp		3.08		
81604	V0882 Ara	EA	7.61	0	7.80	V	48180.587	20.9659	03	A2IV
85792	α Ara	BE	2.79	0	3.13	b		0.9807		B2Vne
85079	ι Ara	BE	5.18	0	5.26	V		0.5565		B2IIIne
10576	R Ari	M	7.1	0	14.3	V	53640.	185.67	47	M3e-M6e
13092	T Ari	M	7.3	0	11.5	V	52600.	340.	49	M6e-M8e
8993	RR Ari	CST:	5.76	0		V				K0III
13654	RZ Ari	SRB	5.45	0	6.01	V		56.5		M6III
14893	SX Ari	SXARI	5.75	0	5.81	V		0.727902		B9pSi
11678	UU Ari	DSCTC	6.10	0	6.15	V		0.0676		A9V
12832	UV Ari	DSCTC	5.18	0	5.22	V		0.0355		A7III-IV
14514	UW Ari	CST:	6.11	0		V				B1.5V
16042	UX Ari	RS	6.36	0	6.70	V				G5V+K0IV
8619	VV Ari	DSCTC	6.69	0	6.73	V		0.0764		F0III
11390	VW Ari	DSCT	6.64	0	6.76	V		0.1606		F0IV
13118	VY Ari	RS	6.68	0	7.15	V		16.1996		K3-4IV-V
13121	VZ Ari	ACV	5.82	0	5.89	V				A0V
15506	XX Ari	ACV	7.33	0	7.42	V		2.4997		B9VSiCr
9963	AC Ari	SRB	7.08	0	7.28	V		32.		M1
10701	AD Ari	EB	7.40	0	7.47	V	53330.654	0.53972		F0
10964	AE Ari	LB	7.4	0	7.8	V				
11035	AF Ari	EA:	6.71	0	6.99	Hp	48081.59			G2IV
12468	AK Ari	LB:	7.87	0	8.02	V				M1
12731	AM Ari	SRB	7.18	0	7.38	V		55.		M1
13645	AO Ari	LB:	6.81	0	6.93	Hp				M0
14433	AQ Ari	SRS:	7.14	0	7.27	Hp		4.17		M1III
15361	AR Ari	DSCT	7.87	0	7.98	Hp		0.1770392		F0
15939	AS Ari	LB:	7.86	0	8.02	Hp				M1
10155	AV Ari	SRS	5.67	0	5.74	V		5.0320		M3III
12600	AY Ari	SRD:	6.82	1	0.02	V				K0IV
10218	AZ Ari	BY	7.33	1	0.02	V		8.98		G5V
13081	BC Ari	BY	7.56	1	0.02	V				K1V
8832	γ Ari	ACV	4.62	1	0.04	V		2.6095		A1pSrCrEu
24645	R Aur	M	6.7	0	14.0	V	54040.	450.	51	M6.5e-M9.5e
29441	X Aur	M	7.8	0	13.8	V	54858.	165.5	50	M3e-M7e
30827	RT Aur	DCEP	5.00	0	5.82	V	54153.880	3.728485	25	F4Ib-G1Ib
26675	RU Aur	M	8.0	0	16.0	V	54782.	463.0	42	M7e-M9e
23360	RX Aur	DCEP	7.28	0	8.02	V	48503.159	11.626	49	F6-G2
31484	TU Aur	SRB	7.60	0	8.30	Hp		156.		M5III
31579	UU Aur	SRB	4.9	0	7.0	V		441.		C5,3-C7,4(N3)
25050	UV Aur	M	7.4	0	10.7	V	54821.	392.8		C6,2-C8,2Jep(Ne)
36314	VX Aur	M	8.0	0	13.1	V	54467.	325.8		M5e
31173	WW Aur	EA	5.86	0	6.54	V	52501.8139	2.52501936	10	A4m+A5m
22910	AB Aur	INA	6.3	0	8.4	V				A0Ve+sh
24575	AE Aur	INA	5.78	0	6.08	V				O9.5V
24740	AR Aur	EA	6.15	0	6.82	V	52501.392	4.134651	07	B9p+B9(Hg-Mn)
24744	EO Aur	EA	7.56	0	8.13	V	52500.255	4.0656497	12	B3V+B3V
23733	HZ Aur	ACV	7.02	0	7.13	V		6.43000		B9pSiCr
24799	IQ Aur	ACV	5.35	0	5.43	V		2.4660	22	B9VpSi
24504	KW Aur	DSCTC+ELL	4.95	0	5.08	V		0.088088		A9IV
25733	LY Aur	EB	6.66	0	7.35	V	52501.836	4.002494		O9.5+O9.5III
26718	NO Aur	LC	6.06	0	6.44	V				M2SIab
33643	NY Aur	ACV	6.56	0	6.73	V		5.4379		A0pEuSrCr
33041	OX Aur	DSCT	5.94	0	6.14	V		0.154412		F2IV
24738	PU Aur	LB:	5.55	0	5.78	V				M4III
29565	QR Aur	ACV	7.19	0	7.21	Hp		16.990		A0pEuSrCr
33269	V0352 Aur	DSCTC	6.13	0	6.18	V		0.17		F1IV
25500	V0362 Aur	LC	7.29	0	7.73	V				M1.5Iab-Ib
24488	V0390 Aur	BY:+UV:	6.92	0	6.99	V		9.8		G5III
28930	V0394 Aur	SRC	6.01	0	6.11	V		32.896		M3II
29793	V0395 Aur	ELL	7.34	0	7.43	V	43978.905	23.1755		F5III+B8V
23783	V0398 Aur	GDOR	4.93	0	5.03	V		1.25804		F0V
28162	V0403 Aur	RS	6.49	0	6.68	V		73.1		G8III
29911	V0406 Aur	EA	7.47	0	7.58	V	46770.690	5.46414	07	A3
22928	V0408 Aur	LC	7.36	0	7.47	Hp				M0Ib
24029	V0413 Aur	BE	7.95	0	8.33	Hp				B1Ve
24238	V0415 Aur	BE	7.80	0	7.87	Hp				B2:V:nne
24326	V0416 Aur	GCAS:	7.23	0	7.48	Hp				B2V:pe
24350	V0417 Aur	EA	7.92	0	8.15	Hp	48500.5262	1.86553	13	A0
24892	V0419 Aur	LB:	7.32	0	7.42	Hp				M3
25114	V0420 Aur	BE	7.42	0	7.53	Hp				B0IVpe
25203	V0421 Aur	LB	7.84	0	8.01	Hp				M0
25284	V0425 Aur	EB	7.62	0	7.90	Hp	48500.8290	1.568583		B5
25801	V0427 Aur	LB	7.52	0	7.65	Hp				K5
25877	V0428 Aur	RV	6.74	0	7.26	Hp	48526.89	89.20		K5
26128	V0430 Aur	SRC	6.89	0	7.02	Hp	48636.	410.		M2II
26434	V0432 Aur	EA	7.98	0	8.40	V	51571.4123	3.08175	09	G0
26606	V0433 Aur	LPB:	6.02	0	6.06	Hp		4.6382		B2IV-V
26872	V0434 Aur	BE	7.16	0	7.30	Hp				B3Vne
27591	V0439 Aur	LB:	7.45	0	7.54	Hp				K5
27661	V0440 Aur	LB:	6.24	0	6.37	Hp				M3III
28023	V0441 Aur	SR:	7.38	0	7.50	Hp				M0
28151	V0442 Aur	SR:	7.04	0	7.39	Hp				M5
28499	V0444 Aur	ACV	5.70	0	5.74	Hp		14.368		B9.5pSiFe
28783	V0447 Aur	BE	7.17	0	7.31	Hp				B3Ve
29108	V0449 Aur	EB	7.46	0	7.58	Hp	52500.5934	0.70366366		A0
29198	V0450 Aur	SR:	7.94	0	8.10	Hp				K7
29352	V0451 Aur	LPB	7.74	0	7.80	Hp		2.63323		B8
29901	V0452 Aur	LB:	6.77	0	6.87	Hp				K2
30227	V0453 Aur	SR:	7.71	0	8.22	Hp				M3
30270	V0454 Aur	EA	7.74	0	8.17	Hp	48502.21	27.027		F8
30878	V0455 Aur	EA	7.33	0	7.64	Hp	47931.70	3.14578		F2
30822	V0456 Aur	DSCTC	7.88	0	7.95	Hp		0.138657		F0
31255	V0458 Aur	LB	7.53	0	7.65	Hp				M5
31485	V0459 Aur	EB	7.68	0	8.12	Hp	48500.8270	1.062637		B8
31719	V0460 Aur	LB:	7.57	0	7.87	Hp				M5
34778	V0463 Aur	ACV:	6.86	0	6.92	Hp		0.804150		A0
22776	V0536 Aur	BY	7.77	1	0.03	V		7.878		G5Ve
26779	V0538 Aur	BY	6.34	0	6.38	Hp		10.86		K1Ve
32263	V0553 Aur	GDOR	7.53	0	7.58	Hp		1.1505		F0
28360	β Aur	EA	1.89	0	1.98	V	52500.573	3.960036	06	A2IV+A2IV
23416	ε Aur	EA	2.92	0	3.88	V	45513.	9884.	08	A8Iab:
23453	ζ Aur	EA	3.70	0	3.97	V	52968.7941	972.150912	04	K5Ib-II+B6.5IV-V
28380	tet Aur	ACV	2.62	0	2.70	V		3.6186		B9.5p(Si)
28404	π Aur	LC	4.24	0	4.34	V				M3.5II
71490	R Boo	M	6.0	0	13.3	V	55029.	223.11	45	M3e-M8e
70291	S Boo	M	7.4	0	14.0	V	55035.	269.88	47	M3e-M6e
70885	V Boo	SR	7.0	0	12.0	V		257.	48	M6e
71995	W Boo	SRB	4.49	0	5.4	V		25.		M2-M4III
70224	Y Boo	CST:	7.94	0		V				K0III
71644	RV Boo	SRB	7.0	0	9.0	V		144.		M5e-M7e
71802	RW Boo	SRB	7.2	0	8.7	V		209.		M5
70401	RX Boo	SRB	6.43	0	9.1	V		162.3		M6.5e-M8IIIe
72528	RY Boo	CST:	7.12	0	7.16	V				F5III-IV
68064	ZZ Boo	EA	6.79	0	7.44	V	52502.9212	4.9917633	06	F2V
76957	BP Boo	ACV	5.34	1	0.02	U		1.30488		B9pSiCr
71487	BW Boo	EA	7.13	0	7.46	V	52501.026	3.332816	06	F0V
73454	BX Boo	ACV	6.33	0	6.41	V		2.88813		B9VpSiCrSr
69038	BY Boo	LB:	4.98	0	5.33	V				M4-4.5III
69068	CF Boo	LB	5.29	0	5.38	Hp				M2IIIab
71280	CH Boo	LB:	5.83	0	5.87	Hp				M1IIIab
70236	CI Boo	LB	6.23	0	6.57	Hp				M3III
71168	CP Boo	DSCTC:	6.89	1	0.02	B				F8IV
69829	CY Boo	SRB	5.74	0	5.90	V		23.		M3III
72848	DE Boo	RS	5.97	0	6.04	V		10.39		K2V
66496	DH Boo	LB:	7.90	0	8.24	Hp				M4
66899	DI Boo	LB	7.31	0	7.42	Hp				M0
67325	DL Boo	LB	7.58	0	7.80	Hp				K5
68913	DP Boo	LB:	6.53	0	6.69	Hp				M1
70287	DV Boo	EA	7.53	0	7.76	V	48045.254	3.78264	06	A2
70621	DW Boo	EB:	7.36	0	7.45	V	55048.523	0.9244464		A0
70800	DX Boo	LB	6.67	0	6.76	V				M1III
71712	EG Boo	LB:	7.96	0	8.06	Hp				K5
71900	EH Boo	LB	7.28	0	7.50	Hp				M2
72208	EK Boo	LB:	5.33	0	5.71	Hp				M5IIIab
72637	EN Boo	LB:	7.67	0	7.85	Hp				M1
73589	EV Boo	LB	6.42	0	6.61	Hp				M5
74253	FF Boo	LB:	6.93	0	7.02	Hp				M2.5III
74337	FG Boo	LB	7.35	0	8.06	Hp				M0
75641	FK Boo	LPB	7.79	0	7.83	Hp		1.5129		B9
76684	FO Boo	LB:	7.65	0	7.76	Hp				M1
