# Locations file.  This file is used to create the location list as used
# in the location selection dialog.
# Format:
# + One record per line
# + Fields in a record are delimited with the tab character
# + Line beginning with a # character are comments
# + Field are as follows:
#   - LocationName
#   - Provice/State
#   - Region (Code/Full English Name)
#   - Type code (C/B=Capital, R=Regional capital,N=Normal city,
#                O=Observatory, L=lander, I=spacecraft impact
#                A=spacecraft crash
#   - Population (thousand)
#   - Latitude (deg[N/S])
#   - Longitude (deg[E/W])
#   - Altitude (meters)
#   - Light Pollution (1-9 Bortle scale, empty=auto)
#   - TimeZone (empty=auto)
#   - Planet (empty=Earth)
#   - LandscapeKey (empty=auto)
Santo Tome	Corrientes	08	N	22.634	28.54939S	56.04077W	81	5	America/Argentina/Cordoba
Santos Lugares	Buenos Aires	08	N	37.267	34.60379S	58.5461W	30	5	America/Argentina/Buenos_Aires
Santa Elena	Entre Rios	08	N	18.41	30.94432S	59.78832W	67	5	America/Argentina/Cordoba
San Pedro	Buenos Aires	08	N	47.452	33.67918S	59.66633W	30	5	America/Argentina/Buenos_Aires
San Pedro	Misiones	08	N	23.736	26.62207S	54.10842W	554	5	America/Argentina/Cordoba
San Luis del Palmar	Corrientes	08	N	15.347	27.5079S	58.55454W	62	5	America/Argentina/Cordoba
San Lorenzo	Corrientes	08	N	47.626	28.13306S	58.76733W	64	5	America/Argentina/Cordoba
San Javier	Santa Fe	08	N	15.606	30.57781S	59.9317W	27	5	America/Argentina/Cordoba
San Isidro	Buenos Aires	08	N	45.19	34.4721S	58.52708W	20	5	America/Argentina/Buenos_Aires
Saladas	Corrientes	08	N	18.349	28.25384S	58.62591W	75	5	America/Argentina/Cordoba
Retiro	Buenos Aires F.D.	08	N	38.635	34.58333S	58.38333W	7	5	America/Argentina/Buenos_Aires
Resistencia	Chaco	08	R	290.793	27.46056S	58.98389W	56	7	America/Argentina/Cordoba
Reconquista	Santa Fe	08	N	90.184	29.15S	59.65W	50	6	America/Argentina/Cordoba
Quilmes	Buenos Aires	08	N	262.379	34.72904S	58.26374W	18	7	America/Argentina/Buenos_Aires
Puerto Rico	Misiones	08	N	17.491	26.79598S	55.02402W	147	5	America/Argentina/Cordoba
Puerto Iguazu	Misiones	08	N	32.038	25.59912S	54.57355W	177	5	America/Argentina/Cordoba
Puerto Esperanza	Misiones	08	N	15.579	26.02267S	54.61356W	204	5	America/Argentina/Cordoba
Puerto Eldorado	Misiones	08	N	54.189	26.40843S	54.69463W	102	6	America/Argentina/Cordoba
